,Name,Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birthdate,College,Experience,Position,Team
285,Kris Humphries,64,1345,509,211,446,47.3,0,7,0.0,87,117,74.4,118,298,416,57,34,25,46,130,730,1.24,0.74,30.0,"February 6, 1985",University of Minnesota,10,PF,WAS
286,Jeff Adrien,17,215,60,19,44,43.2,0,0,0.0,22,38,57.9,23,54,77,15,4,9,9,30,115,1.67,0.44,29.0,"February 10, 1986",University of Connecticut,4,PF,MIN
287,Kenyon Martin,11,104,20,9,22,40.9,0,0,0.0,2,2,100.0,6,13,19,5,5,6,3,13,39,1.67,1.67,38.0,"December 30, 1977",University of Cincinnati,14,PF,MIL
288,Lou Amundson,53,937,259,109,255,42.7,0,1,0.0,41,87,47.1,94,174,268,70,22,52,62,126,417,1.13,0.36,33.0,"December 7, 1982","University of Nevada, Las Vegas",8,PF,NYK
289,Kenneth Faried,75,2086,946,373,736,50.7,1,8,12.5,199,288,69.1,242,426,668,89,62,57,118,211,1252,0.75,0.53,26.0,"November 19, 1989",Morehead State University,3,PF,DEN
290,Luc Mbah a Moute,67,1916,660,251,636,39.5,62,202,30.7,96,163,58.9,82,246,328,106,81,21,99,104,645,1.07,0.82,29.0,"September 9, 1986","University of California, Los Angeles",6,PF,PHI
291,Julius Randle,1,14,2,1,3,33.3,0,0,0.0,0,2,0.0,0,0,0,0,0,0,1,1,-3,0.0,0.0,21.0,"November 29, 1994",University of Kentucky,R,PF,LAL
292,Josh McRoberts,17,296,72,28,53,52.8,8,19,42.1,8,13,61.5,7,38,45,33,12,3,22,41,113,1.5,0.55,28.0,"February 28, 1987",Duke University,7,PF,MIA
293,Marcus Morris,81,2045,845,331,763,43.4,112,313,35.8,71,113,62.8,73,312,385,133,63,16,73,188,895,1.82,0.86,26.0,"September 2, 1989",University of Kansas,3,PF,PHO
294,Jon Leuer,63,824,286,121,273,44.3,7,29,24.1,37,59,62.7,50,157,207,46,17,9,35,86,356,1.31,0.49,26.0,"May 14, 1989",University of Wisconsin,3,PF,MEM
295,Markieff Morris,82,2581,1258,512,1100,46.5,57,179,31.8,177,232,76.3,110,396,506,192,101,39,170,245,1283,1.13,0.59,26.0,"September 2, 1989",University of Kansas,3,PF,PHO
296,LaMarcus Aldridge,71,2512,1661,659,1415,46.6,37,105,35.2,306,362,84.5,177,549,726,124,48,68,122,125,1693,1.02,0.39,30.0,"July 19, 1985",University of Texas at Austin,8,PF,POR
297,Jeff Ayres,51,383,137,55,95,57.9,0,0,0.0,27,36,75.0,37,80,117,14,8,8,26,60,209,0.54,0.31,28.0,"April 29, 1987",Arizona State University,4,PF,SAS
298,Matt Bonner,72,935,264,94,230,40.9,46,126,36.5,30,37,81.1,29,86,115,47,10,12,11,65,294,4.27,0.91,35.0,"April 5, 1980",University of Florida,10,PF,SAS
299,Joey Dorsey,69,854,184,80,145,55.2,0,1,0.0,24,83,28.9,103,176,279,25,40,25,41,157,388,0.61,0.98,32.0,"December 16, 1983",University of Memphis,3,PF,HOU
300,Jerrelle Benimon,2,3,0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,0,2,0.0,0.0,24.0,"August 1, 1991",Towson University,R,PF,UTA
301,Alex Kirk,5,14,4,1,4,25.0,0,0,0.0,2,2,100.0,1,0,1,1,0,0,0,1,3,0.0,0.0,24.0,"November 14, 1991",University of New Mexico,R,C,CLE
302,Chuck Hayes,29,255,50,22,46,47.8,0,0,0.0,6,11,54.5,18,33,51,20,10,4,8,37,98,2.5,1.25,32.0,"June 11, 1983",University of Kentucky,9,C,TOR
303,Chris Kaman,74,1398,638,283,549,51.5,0,0,0.0,72,102,70.6,149,335,484,65,18,54,108,140,855,0.6,0.17,33.0,"April 28, 1982",Central Michigan University,11,C,POR
304,Mason Plumlee,82,1743,717,280,489,57.3,0,3,0.0,157,317,49.5,175,337,512,74,65,63,106,207,956,0.7,0.61,25.0,"March 5, 1990",Duke University,1,C,NJN
305,Chris Bosh,44,1556,928,343,745,46.0,63,168,37.5,179,232,77.2,46,264,310,95,41,25,95,69,849,1.0,0.43,31.0,"March 24, 1984",Georgia Institute of Technology,11,C,MIA
306,Chris Andersen,60,1132,320,120,207,58.0,4,13,30.8,76,114,66.7,76,223,299,43,26,61,40,88,584,1.08,0.65,37.0,"July 7, 1978",Blinn College,12,C,MIA
307,Lavoy Allen,63,1070,315,141,299,47.2,0,0,0.0,33,47,70.2,123,200,323,73,15,42,40,102,556,1.83,0.38,26.0,"February 4, 1989",Temple University,3,C,IND
308,Al Horford,76,2318,1156,519,965,53.8,11,36,30.6,107,141,75.9,131,413,544,244,68,98,100,121,1530,2.44,0.68,29.0,"June 3, 1986",University of Florida,7,C,ATL
309,Nerlens Noel,75,2311,744,302,653,46.2,0,0,0.0,140,230,60.9,185,426,611,128,133,142,146,208,1171,0.88,0.91,21.0,"April 10, 1994",University of Kentucky,R,C,PHI
310,Arinze Onuaku,6,68,27,12,14,85.7,0,0,0.0,3,8,37.5,7,14,21,4,1,3,2,6,47,2.0,0.5,28.0,"July 13, 1987",Syracuse University,1,C,MIN
311,Nikola Vucevic,74,2529,1428,631,1206,52.3,2,6,33.3,164,218,75.2,238,572,810,147,54,54,148,220,1716,0.99,0.37,25.0,"October 24, 1990",University of Southern California,3,C,ORL
312,Brook Lopez,72,2100,1236,506,987,51.3,1,10,10.0,223,274,81.4,214,321,535,50,43,126,104,206,1354,0.48,0.41,27.0,"April 1, 1988",Stanford University,6,C,NJN
313,Andre Drummond,82,2502,1130,494,961,51.4,0,2,0.0,142,365,38.9,437,667,1104,55,73,153,120,285,1705,0.46,0.61,22.0,"August 10, 1993",University of Connecticut,2,C,DET
314,Brendan Haywood,22,119,35,14,30,46.7,0,0,0.0,7,13,53.8,6,23,29,2,2,10,10,17,46,0.2,0.2,36.0,"November 27, 1979",University of North Carolina,12,C,CLE
315,Andrew Bogut,67,1583,422,200,355,56.3,0,0,0.0,22,42,52.4,141,402,543,180,39,113,106,188,1016,1.7,0.37,31.0,"November 28, 1984",University of Utah,9,C,GSW
316,Nazr Mohammed,23,128,27,13,30,43.3,0,0,0.0,1,3,33.3,11,27,38,3,4,5,7,16,51,0.43,0.57,38.0,"September 5, 1977",University of Kentucky,16,C,CHI
317,Cole Aldrich,61,976,338,144,301,47.8,0,0,0.0,50,64,78.1,101,237,338,75,37,65,59,122,623,1.27,0.63,27.0,"October 31, 1988",University of Kansas,4,C,NYK
318,Marreese Speights,76,1207,791,318,646,49.2,5,18,27.8,150,178,84.3,109,216,325,72,20,34,82,189,804,0.88,0.24,28.0,"August 4, 1987",University of Florida,6,C,GSW
319,Bernard James,16,158,44,12,27,44.4,0,0,0.0,20,23,87.0,18,21,39,4,2,15,6,17,80,0.67,0.33,30.0,"February 7, 1985",Florida State University,2,C,DAL
320,Aron Baynes,70,1122,461,185,327,56.6,1,4,25.0,90,104,86.5,109,209,318,35,16,22,65,162,631,0.54,0.25,29.0,"December 9, 1986",Washington State University,2,C,SAS
321,Alex Len,69,1518,432,179,353,50.7,1,3,33.3,73,104,70.2,142,312,454,32,34,105,74,213,778,0.43,0.46,22.0,"June 16, 1993",University of Maryland,1,C,PHO
322,JaVale McGee,23,256,106,42,79,53.2,0,0,0.0,22,33,66.7,18,43,61,3,2,20,18,30,126,0.17,0.11,27.0,"January 19, 1988","University of Nevada, Reno",6,C,PHI
323,Tim Duncan,77,2227,1070,419,819,51.2,2,7,28.6,230,311,74.0,170,534,704,230,63,151,131,165,1606,1.76,0.48,39.0,"April 25, 1976",Wake Forest University,17,C,SAS
324,Miles Plumlee,73,1194,294,136,254,53.5,0,0,0.0,22,46,47.8,112,208,320,34,41,66,51,111,562,0.67,0.8,27.0,"September 1, 1988",Duke University,2,C,PHO
325,Robin Lopez,59,1638,566,234,437,53.5,0,1,0.0,98,127,77.2,190,204,394,55,16,84,73,122,810,0.75,0.22,27.0,"April 1, 1988",Stanford University,6,C,POR
326,Jerome Jordan,44,383,138,50,94,53.2,0,0,0.0,38,44,86.4,52,53,105,13,8,15,22,58,207,0.59,0.36,29.0,"September 29, 1986",University of Tulsa,1,C,NJN
327,JJ Hickson,73,1411,552,218,459,47.5,0,2,0.0,116,201,57.7,150,302,452,57,36,35,96,136,710,0.59,0.38,27.0,"September 4, 1988",North Carolina State University,6,C,DEN
328,Roy Hibbert,76,1926,802,317,710,44.6,0,2,0.0,168,204,82.4,156,384,540,84,18,125,107,216,1033,0.79,0.17,29.0,"December 11, 1986",Georgetown University,6,C,IND
329,Joakim Noah,67,2049,485,190,427,44.5,0,2,0.0,105,174,60.3,219,427,646,312,48,74,123,203,1136,2.54,0.39,30.0,"February 25, 1985",University of Florida,7,C,CHI
330,Greg Stiemsma,17,66,14,6,8,75.0,0,0,0.0,2,4,50.0,9,6,15,3,2,0,7,15,23,0.43,0.29,30.0,"September 26, 1985",University of Wisconsin,3,C,TOR
331,Joel Anthony,49,406,87,36,62,58.1,0,0,0.0,15,22,68.2,32,61,93,5,12,49,12,55,201,0.42,1.0,33.0,"August 9, 1982","University of Nevada, Las Vegas",7,C,DET
332,Ryan Hollins,46,441,137,53,82,64.6,0,0,0.0,31,54,57.4,36,67,103,14,6,19,25,65,202,0.56,0.24,31.0,"October 10, 1984","University of California, Los Angeles",8,C,SAC
333,Samuel Dalembert,32,544,128,57,130,43.8,0,0,0.0,14,20,70.0,53,115,168,29,14,41,39,70,262,0.74,0.36,34.0,"May 10, 1981",Seton Hall University,12,C,NYK
334,John Henson,67,1228,470,196,346,56.6,0,0,0.0,78,137,56.9,124,188,312,59,28,135,87,152,708,0.68,0.32,25.0,"December 28, 1990",University of North Carolina,2,C,MIL
335,Gorgui Dieng,73,2193,710,259,512,50.6,1,6,16.7,191,244,78.3,223,386,609,146,71,126,126,188,1230,1.16,0.56,25.0,"January 18, 1990",University of Louisville,1,C,MIN
336,Evan Turner,82,2260,779,320,746,42.9,33,119,27.7,106,141,75.2,40,377,417,449,83,19,198,180,1088,2.27,0.42,26.0,"October 21, 1989",Vanderbilt University,1,C,GSW
337,Kosta Koufos,81,1348,419,182,358,50.8,0,0,0.0,55,85,64.7,121,305,426,37,29,63,69,148,699,0.54,0.42,26.0,"February 24, 1989",Ohio State University,6,C,MEM
338,Elton Brand,36,486,96,42,95,44.2,0,1,0.0,12,23,52.2,28,72,100,22,17,25,18,54,178,1.22,0.94,36.0,"March 11, 1979",Duke University,15,C,ATL
339,Jordan Hill,70,1874,841,357,777,45.9,3,11,27.3,124,168,73.8,174,382,556,103,34,52,106,164,1016,0.97,0.32,28.0,"July 27, 1987",University of Arizona,5,C,LAL
340,Earl Barron,16,143,32,12,39,30.8,2,4,50.0,6,12,50.0,14,14,28,5,4,2,5,26,33,1.0,0.8,34.0,"August 14, 1981",University of Memphis,7,C,PHO
341,Sim Bhullar,3,3,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,4,0.0,0.0,23.0,"December 2, 1992",New Mexico State University,R,C,SAC
342,Justin Hamilton,41,713,219,85,178,47.8,10,31,32.3,39,47,83.0,57,77,134,36,27,30,26,70,319,1.39,1.04,25.0,"April 1, 1990",Louisiana State University,1,C,MIN
343,Kelly Olynyk,64,1424,656,251,528,47.5,61,175,34.9,93,136,68.4,92,211,303,109,64,39,98,213,753,1.11,0.65,24.0,"April 19, 1991",Gonzaga University,1,C,BOS
344,Dewayne Dedmon,59,845,216,91,162,56.2,0,1,0.0,34,64,53.1,118,177,295,9,16,50,51,141,434,0.18,0.31,26.0,"August 12, 1989",University of Southern California,1,C,ORL
345,DeMarcus Cousins,59,2013,1421,498,1066,46.7,2,8,25.0,423,541,78.2,185,562,747,210,90,103,254,241,1631,0.83,0.35,25.0,"August 13, 1990",University of Kentucky,4,C,SAC
346,Steven Adams,70,1771,537,217,399,54.4,0,2,0.0,103,205,50.2,199,324,523,66,38,86,99,222,867,0.67,0.38,22.0,"July 20, 1993",University of Pittsburgh,1,C,OKC
347,Tarik Black,63,1195,379,157,273,57.5,0,1,0.0,65,118,55.1,142,226,368,42,19,24,48,158,615,0.88,0.4,24.0,"November 22, 1991",University of Kansas,R,C,LAL
348,DeAndre Jordan,82,2820,946,379,534,71.0,1,4,25.0,187,471,39.7,397,829,1226,61,81,183,109,245,1949,0.56,0.74,27.0,"July 21, 1988",Texas A&M University,6,C,LAC
349,Meyers Leonard,55,847,327,125,245,51.0,47,112,42.0,30,32,93.8,46,204,250,32,10,14,39,113,472,0.82,0.26,23.0,"February 27, 1992",University of Illinois at Urbana-Champaign,2,C,POR
